Age,Income,CreditScore,EmploymentStatus,Approved
49,133572,641,Salaried,1
28,55951,737,Unemployed,1
31,109006,565,Salaried,1
61,33057,721,Unemployed,0
57,71579,685,Self-employed,1
34,57173,512,Salaried,0
50,117078,716,Salaried,1
55,46278,665,Salaried,1
41,97880,589,Salaried,1
57,85021,664,Salaried,1
25,79736,593,Salaried,0
39,135147,677,Salaried,1
34,137790,631,Self-employed,0
46,80668,481,Salaried,1
24,74622,634,Self-employed,0
45,39793,601,Salaried,0
62,84872,719,Self-employed,1
45,143599,746,Salaried,1
38,81137,594,Self-employed,1
60,106862,563,Salaried,1
28,43075,465,Self-employed,0
59,71956,560,Salaried,0
60,98873,614,Salaried,1
34,88175,502,Salaried,1
52,109740,748,Salaried,1
58,66919,678,Salaried,1
53,32500,636,Salaried,0
43,118662,648,Salaried,1
35,56915,683,Salaried,1
53,100198,719,Self-employed,1
45,98525,738,Unemployed,1
37,35087,615,Salaried,1
53,116473,634,Self-employed,0
22,68002,669,Self-employed,1
34,86651,629,Salaried,1
60,74254,745,Salaried,1
60,133677,785,Salaried,1
59,125304,687,Unemployed,1
26,30629,550,Salaried,1
26,152764,705,Self-employed,1
23,64650,692,Self-employed,1
27,148073,540,Salaried,1
28,77313,692,Salaried,0
62,74772,590,Self-employed,0
35,77580,732,Salaried,1
49,72976,705,Salaried,1
53,160731,674,Salaried,1
50,82709,654,Unemployed,1
59,75931,415,Salaried,0
47,87310,516,Self-employed,0
56,55979,635,Salaried,0
49,132913,817,Salaried,1
58,40867,712,Unemployed,1
53,66579,849,Self-employed,1
57,113099,659,Salaried,1
47,86270,646,Self-employed,1
53,101476,806,Salaried,1
24,130994,632,Self-employed,1
42,115114,541,Salaried,1
22,89124,684,Self-employed,1
30,147680,773,Self-employed,1
25,66149,559,Salaried,0
30,81990,714,Unemployed,1
53,84086,639,Unemployed,0
58,81927,699,Salaried,1
33,52923,684,Unemployed,1
51,37490,604,Self-employed,0
56,97516,638,Self-employed,0
44,65995,611,Unemployed,0
35,142234,663,Salaried,1
49,82823,556,Self-employed,1
28,77455,583,Unemployed,0
25,117830,604,Salaried,1
49,97065,693,Salaried,1
24,79734,494,Salaried,0
32,65778,638,Self-employed,0
22,194731,572,Self-employed,1
47,95853,604,Salaried,1
51,117532,577,Salaried,1
56,54311,671,Salaried,0
56,67660,632,Salaried,1
46,148370,728,Self-employed,1
63,126907,694,Salaried,1
47,98728,480,Self-employed,0
25,73552,544,Self-employed,0
40,77978,630,Unemployed,1
31,64716,645,Salaried,1
30,50294,554,Unemployed,0
60,112715,793,Salaried,1
58,101164,745,Self-employed,1
26,107082,469,Self-employed,0
28,74893,687,Salaried,1
43,92669,644,Salaried,1
46,72038,786,Salaried,1
63,63180,477,Self-employed,0
32,135011,876,Salaried,1
46,88645,557,Unemployed,0
33,100223,691,Salaried,1
60,110072,583,Unemployed,0
38,89021,608,Salaried,1
45,92218,464,Salaried,0
53,52401,781,Salaried,0
60,58116,620,Unemployed,0
63,56565,627,Self-employed,1
32,103163,900,Salaried,1
64,87126,755,Salaried,1
56,58119,576,Salaried,0
24,102402,582,Self-employed,0
25,101303,678,Salaried,1
57,64151,734,Self-employed,1
28,84165,842,Self-employed,1
62,101414,473,Unemployed,0
48,59249,729,Self-employed,1
51,101986,747,Salaried,1
29,94030,563,Unemployed,1
49,55024,610,Salaried,1
34,91593,470,Salaried,1
60,95969,594,Unemployed,0
61,66219,675,Salaried,1
42,68581,825,Salaried,1
31,54747,835,Salaried,1
43,71530,536,Salaried,0
21,84637,810,Salaried,1
57,68664,435,Salaried,0
41,40453,585,Salaried,1
46,64342,616,Unemployed,0
56,72481,677,Self-employed,0
43,109505,661,Self-employed,1
21,102842,690,Self-employed,1
60,110086,629,Unemployed,0
35,62829,755,Unemployed,1
41,89246,726,Unemployed,1
29,20000,618,Unemployed,0
29,97867,742,Salaried,1
30,103326,877,Self-employed,1
46,74451,575,Self-employed,1
61,93862,834,Self-employed,1
55,39552,585,Salaried,1
45,60967,805,Salaried,1
46,107963,589,Salaried,1
31,100337,734,Unemployed,1
58,72644,669,Self-employed,1
22,109340,453,Salaried,0
27,89148,860,Salaried,1
38,69873,551,Self-employed,0
47,79515,510,Salaried,0
54,71337,579,Salaried,1
47,49486,900,Salaried,1
37,122700,512,Salaried,1
63,67959,669,Salaried,1
64,60029,526,Self-employed,0
44,39119,545,Salaried,0
45,20000,474,Salaried,0
27,106044,684,Self-employed,1
26,108808,632,Self-employed,1
44,120791,525,Salaried,1
53,80528,746,Self-employed,1
49,75340,757,Unemployed,1
63,69768,694,Unemployed,1
42,72503,778,Self-employed,1
46,118593,611,Self-employed,0
48,84204,685,Salaried,1
41,96342,612,Self-employed,1
27,71739,484,Self-employed,1
37,124625,674,Salaried,1
40,27857,667,Salaried,0
61,48384,646,Self-employed,1
40,96391,691,Unemployed,0
42,137518,805,Salaried,1
48,78246,627,Salaried,1
60,59728,544,Self-employed,0
27,115019,622,Salaried,1
21,94710,634,Self-employed,0
52,123706,758,Salaried,1
33,46289,661,Salaried,0
50,121350,523,Self-employed,0
43,38546,738,Salaried,1
39,76354,720,Salaried,1
52,97383,661,Salaried,1
50,90580,754,Salaried,1
49,116817,772,Self-employed,0
49,30200,608,Self-employed,0
50,89230,550,Salaried,0
36,120989,648,Salaried,1
60,86778,709,Salaried,0
39,50729,638,Self-employed,1
38,115225,541,Salaried,1
21,65550,667,Unemployed,1
34,60270,426,Self-employed,0
22,56495,614,Self-employed,0
48,79039,743,Self-employed,0
50,90491,749,Unemployed,1
58,46926,300,Unemployed,0
24,53090,628,Self-employed,0
21,64165,715,Salaried,0
28,56350,520,Unemployed,0
49,86102,609,Salaried,1
59,95836,782,Unemployed,1
23,91716,596,Self-employed,1
52,91759,825,Unemployed,1
30,135129,568,Unemployed,1
30,97710,805,Salaried,1
39,108518,653,Self-employed,1
54,72561,553,Salaried,0
53,113320,805,Salaried,1
43,71129,517,Salaried,1
48,97343,562,Salaried,0
52,43858,703,Self-employed,1
27,89987,658,Unemployed,0
49,55738,680,Self-employed,0
28,113081,609,Salaried,1
21,111276,518,Unemployed,1
23,71001,578,Unemployed,0
44,146487,795,Self-employed,1
43,76423,502,Self-employed,0
28,36639,830,Unemployed,1
57,61626,684,Salaried,1
23,53675,584,Unemployed,0
53,96388,429,Unemployed,0
48,47939,444,Unemployed,0
28,68823,610,Salaried,0
54,94436,597,Unemployed,0
55,89159,662,Salaried,1
52,84620,839,Self-employed,1
44,88780,709,Unemployed,1
34,73884,635,Salaried,1
52,36887,783,Salaried,1
63,73094,666,Unemployed,1
36,99062,825,Unemployed,1
24,80891,576,Unemployed,0
57,96744,523,Salaried,0
41,67396,429,Self-employed,0
34,114830,638,Salaried,0
51,20000,514,Self-employed,0
38,89243,512,Salaried,0
27,125466,763,Self-employed,1
30,129930,460,Salaried,1
27,78045,661,Unemployed,1
53,45214,640,Self-employed,0
43,125994,660,Self-employed,1
41,83444,802,Salaried,1
39,80230,559,Self-employed,1
39,58214,802,Salaried,1
56,47503,456,Salaried,0
49,101915,721,Self-employed,1
38,105096,812,Unemployed,1
22,91046,300,Salaried,0
21,62078,646,Salaried,1
25,53050,637,Self-employed,1
40,42032,657,Unemployed,0
31,68183,838,Salaried,1
62,54824,566,Unemployed,0
22,33720,519,Unemployed,0
23,104540,658,Salaried,1
43,45428,773,Salaried,1
32,114517,711,Self-employed,1
40,96822,653,Unemployed,1
25,93830,624,Self-employed,1
57,134959,429,Salaried,0
58,46425,714,Salaried,1
50,111213,727,Salaried,1
29,76070,573,Self-employed,1
54,162132,598,Salaried,1
64,73576,534,Self-employed,0
55,68730,745,Salaried,1
42,97766,609,Salaried,0
64,78732,633,Salaried,0
44,62246,719,Salaried,1
37,55891,685,Unemployed,1
30,128746,711,Salaried,1
50,50096,669,Self-employed,1
43,91692,671,Salaried,1
52,116685,670,Salaried,1
37,118134,699,Salaried,1
37,66950,705,Salaried,1
34,78814,515,Salaried,1
29,72994,584,Unemployed,0
60,38949,627,Salaried,0
22,101125,699,Salaried,0
45,86155,825,Unemployed,1
59,128217,560,Salaried,0
29,60303,746,Self-employed,0
42,117660,587,Salaried,1
63,119777,800,Salaried,1
24,86412,860,Self-employed,1
46,20000,457,Unemployed,0
49,69622,614,Salaried,1
54,138576,391,Salaried,0
43,93911,464,Salaried,0
57,105801,470,Salaried,0
31,82325,718,Unemployed,1
26,78296,698,Salaried,1
38,28979,738,Unemployed,0
41,108842,716,Salaried,1
62,117390,703,Unemployed,1
56,56474,662,Self-employed,1
61,79634,635,Unemployed,0
58,75587,762,Salaried,1
54,97604,651,Self-employed,0
37,68669,707,Self-employed,1
57,112940,393,Self-employed,0
45,87139,520,Unemployed,0
58,20000,757,Self-employed,0
32,98281,576,Unemployed,0
43,114890,496,Salaried,1
62,50438,720,Self-employed,0
42,97261,650,Unemployed,1
41,139898,605,Salaried,1
47,88361,816,Salaried,1
51,119248,797,Unemployed,1
26,71735,629,Salaried,1
47,84461,729,Salaried,1
60,78861,403,Salaried,0
54,73386,770,Unemployed,1
32,80568,530,Unemployed,0
27,36079,490,Unemployed,0
30,75073,453,Self-employed,0
37,125134,445,Self-employed,1
46,56089,768,Salaried,1
41,53016,719,Salaried,1
48,86836,565,Salaried,0
22,88335,744,Salaried,1
63,96323,584,Unemployed,0
21,81587,685,Unemployed,1
56,87155,596,Self-employed,0
46,74473,636,Unemployed,1
49,46726,550,Unemployed,0
41,82858,566,Self-employed,0
31,106737,709,Salaried,1
60,100451,727,Salaried,1
31,32672,604,Self-employed,0
56,92557,482,Salaried,0
59,58216,900,Salaried,1
60,126764,654,Unemployed,1
55,94788,684,Salaried,1
54,111888,511,Salaried,0
44,85635,783,Self-employed,1
42,83018,800,Self-employed,1
25,129875,462,Salaried,1
53,114183,638,Salaried,1
56,88535,630,Unemployed,0
40,79010,900,Salaried,1
39,33784,808,Unemployed,1
55,94737,490,Salaried,0
63,81216,569,Salaried,1
37,101618,551,Salaried,1
63,110734,690,Self-employed,0
54,121987,822,Unemployed,1
29,95109,662,Salaried,1
46,53609,705,Salaried,1
22,20520,576,Salaried,1
29,60259,704,Self-employed,0
29,125004,598,Salaried,1
60,139704,469,Salaried,1
37,77862,697,Salaried,1
21,41171,648,Self-employed,1
45,65547,529,Unemployed,0
63,119134,830,Self-employed,1
60,67269,565,Salaried,0
62,102673,717,Salaried,1
45,90056,610,Salaried,1
59,106300,819,Salaried,1
55,139540,623,Self-employed,1
23,102693,465,Salaried,0
57,89407,739,Salaried,1
64,142851,819,Self-employed,1
64,95486,602,Self-employed,1
50,61211,724,Self-employed,1
58,105623,664,Unemployed,0
54,98423,607,Self-employed,0
32,75762,742,Self-employed,0
39,69472,561,Self-employed,1
57,76052,653,Salaried,1
64,69043,678,Salaried,1
37,77027,674,Unemployed,1
30,59716,564,Unemployed,0
32,96584,876,Self-employed,1
36,94336,788,Self-employed,1
44,95356,758,Salaried,1
39,83128,807,Self-employed,0
28,79670,657,Unemployed,0
51,128260,609,Unemployed,1
41,87022,530,Salaried,1
37,122913,572,Salaried,1
43,55107,538,Salaried,0
57,102675,591,Salaried,1
36,62958,680,Salaried,1
26,68315,750,Self-employed,0
28,72642,747,Salaried,1
45,70762,521,Self-employed,0
38,70911,725,Self-employed,1
45,121518,775,Unemployed,1
32,86362,622,Unemployed,1
35,91751,781,Self-employed,1
46,71285,746,Self-employed,1
61,110708,510,Salaried,0
46,95651,891,Unemployed,1
52,75732,571,Salaried,0
30,37471,755,Unemployed,0
36,91488,751,Salaried,1
27,102270,515,Salaried,0
37,55634,669,Salaried,1
43,76138,749,Self-employed,1
46,101114,514,Salaried,1
41,37872,660,Self-employed,1
42,65534,759,Unemployed,1
27,96307,766,Salaried,1
34,118150,606,Self-employed,0
35,150573,819,Salaried,1
27,143759,793,Self-employed,1
29,89313,676,Self-employed,0
28,70473,577,Salaried,1
43,112693,521,Unemployed,0
49,68692,691,Self-employed,1
38,62137,811,Unemployed,1
51,75842,633,Self-employed,0
50,72079,555,Unemployed,0
59,97378,740,Salaried,1
55,66927,669,Salaried,0
38,87553,706,Salaried,1
62,132848,592,Unemployed,1
59,88664,609,Salaried,0
37,130502,591,Unemployed,0
34,121061,704,Salaried,1
51,102761,612,Salaried,1
44,74375,715,Salaried,1
55,116215,581,Self-employed,1
64,77500,704,Unemployed,1
54,84939,727,Salaried,1
23,94905,686,Self-employed,1
57,84838,750,Salaried,1
63,63391,597,Self-employed,0
60,39187,726,Salaried,0
46,113773,675,Salaried,1
43,102110,560,Self-employed,0
64,33381,440,Self-employed,0
59,62596,463,Salaried,0
35,90371,407,Salaried,0
24,98277,696,Self-employed,1
49,39446,614,Unemployed,0
42,82322,659,Unemployed,1
45,101189,630,Unemployed,1
33,74454,713,Unemployed,0
38,92674,717,Salaried,1
53,70373,654,Salaried,0
36,112275,661,Salaried,1
62,61021,665,Salaried,0
64,50737,803,Self-employed,1
22,85867,429,Unemployed,0
55,41994,576,Salaried,0
62,21846,745,Self-employed,0
54,117512,771,Self-employed,1
50,55473,696,Self-employed,1
33,44990,629,Salaried,0
33,60647,854,Self-employed,1
38,59300,669,Salaried,0
52,80736,653,Unemployed,0
52,52195,796,Unemployed,1
55,99945,702,Salaried,1
59,104387,753,Salaried,1
49,46750,766,Self-employed,1
49,66457,609,Salaried,1
64,69308,844,Salaried,1
36,80049,379,Unemployed,0
64,117480,432,Salaried,1
30,119209,575,Salaried,1
50,159966,603,Self-employed,1
45,20000,689,Salaried,0
59,57271,574,Salaried,0
40,139420,648,Self-employed,1
25,30978,627,Salaried,0
21,138737,870,Self-employed,1
50,89420,561,Unemployed,0
23,90523,464,Unemployed,0
34,46606,773,Salaried,1
50,71465,571,Salaried,0
24,137421,639,Self-employed,1
38,83569,578,Self-employed,0
57,71665,731,Unemployed,1
45,97171,498,Self-employed,0
21,79233,342,Salaried,0
35,95354,792,Salaried,1
29,59507,677,Unemployed,0
35,82685,767,Unemployed,1
44,65767,788,Salaried,1
24,30881,549,Self-employed,0
32,99458,656,Salaried,1
57,47986,705,Salaried,1
57,80057,638,Salaried,1
63,112782,615,Unemployed,1
26,40065,626,Self-employed,0
59,103140,769,Unemployed,1
44,76005,621,Unemployed,0
31,56004,716,Salaried,1
33,145687,688,Self-employed,1
54,84983,543,Unemployed,1
45,67957,683,Self-employed,1
27,61593,480,Self-employed,0
24,111434,694,Salaried,1
28,66638,748,Self-employed,1
40,107695,773,Salaried,1
49,84925,545,Salaried,1
30,118485,591,Salaried,1
63,53723,681,Salaried,1
54,57908,597,Salaried,0
46,76569,437,Salaried,0
61,79058,590,Salaried,0
23,74363,680,Salaried,1
26,163943,767,Salaried,1
25,146897,835,Self-employed,1
25,93971,663,Self-employed,0
43,97509,712,Self-employed,1
29,77907,755,Unemployed,1
55,53505,424,Salaried,0
40,79537,537,Salaried,1
62,108133,661,Salaried,1
55,124168,821,Unemployed,1
38,114871,719,Self-employed,1
37,39706,686,Salaried,1
44,76323,624,Salaried,0
23,40933,696,Self-employed,0
52,120065,584,Salaried,1
55,72628,564,Self-employed,1
58,83586,573,Unemployed,0
33,99401,797,Self-employed,1
45,167984,557,Unemployed,0
29,93048,606,Salaried,1
24,77851,701,Self-employed,1
34,47768,553,Unemployed,0
57,128759,674,Self-employed,0
54,79550,674,Self-employed,0
31,134714,581,Self-employed,1
61,118168,621,Unemployed,1
23,71111,546,Salaried,0
48,43231,802,Salaried,1
49,93177,678,Salaried,1
29,66552,534,Unemployed,0
23,86180,663,Unemployed,1
45,116471,668,Salaried,1
54,35392,403,Salaried,0
32,92938,797,Unemployed,1
62,107787,541,Salaried,1
29,109243,879,Salaried,1
35,44093,737,Salaried,0
60,97580,526,Salaried,0
45,121106,615,Self-employed,1
25,95297,751,Salaried,1
31,81529,623,Self-employed,1
54,119188,779,Unemployed,1
44,64170,608,Salaried,0
35,39105,641,Salaried,0
58,78982,754,Unemployed,1
28,101051,716,Self-employed,1
25,116168,548,Salaried,1
46,100915,697,Salaried,1
38,110074,668,Salaried,1
26,116359,549,Self-employed,1
57,74818,497,Salaried,1
33,80561,437,Salaried,0
48,123615,617,Salaried,1
25,48695,644,Unemployed,0
33,97873,705,Salaried,1
37,63498,740,Self-employed,1
60,118007,604,Salaried,1
52,84461,640,Salaried,1
49,85227,566,Self-employed,0
23,136866,659,Self-employed,1
60,52718,756,Self-employed,1
54,91474,661,Self-employed,0
60,79596,777,Salaried,1
47,100972,754,Self-employed,0
33,142879,810,Salaried,1
53,66842,664,Salaried,0
26,49078,591,Self-employed,0
44,60720,718,Unemployed,1
39,78015,608,Self-employed,1
36,86926,714,Unemployed,0
60,88435,577,Unemployed,0
48,139079,558,Salaried,1
53,133745,783,Unemployed,1
61,124088,538,Self-employed,0
33,160433,762,Unemployed,1
63,109722,714,Self-employed,1
45,118250,660,Self-employed,0
62,109143,441,Self-employed,1
56,104227,813,Salaried,1
47,96831,547,Unemployed,1
58,73094,754,Salaried,1
27,47596,573,Salaried,0
25,81080,565,Salaried,0
63,101973,723,Salaried,1
51,87167,709,Salaried,1
43,53039,524,Salaried,0
62,80023,808,Salaried,1
30,78459,627,Salaried,0
52,83129,657,Salaried,0
63,99727,617,Salaried,1
50,106187,528,Unemployed,1
59,69998,730,Salaried,1
51,114433,681,Salaried,1
38,118949,561,Salaried,1
56,94609,753,Salaried,1
22,104942,656,Self-employed,1
34,114526,658,Salaried,1
33,52070,845,Salaried,1
49,116641,473,Salaried,0
32,61298,471,Self-employed,0
59,64218,496,Self-employed,0
22,90888,689,Salaried,1
52,20678,610,Salaried,0
33,90268,619,Salaried,0
47,114453,546,Self-employed,1
61,35622,833,Salaried,1
37,117670,870,Salaried,1
60,64036,748,Salaried,0
51,91205,484,Salaried,0
54,68392,596,Salaried,0
44,102187,741,Salaried,1
55,115748,644,Salaried,1
26,104410,749,Salaried,1
39,84880,787,Self-employed,1
50,70724,859,Salaried,1
27,82920,577,Self-employed,0
30,104679,658,Self-employed,1
61,105707,601,Self-employed,1
52,101524,429,Unemployed,0
54,46522,727,Salaried,0
48,84309,711,Salaried,1
35,65997,589,Self-employed,0
50,104947,474,Self-employed,0
57,62050,607,Self-employed,0
49,98561,730,Salaried,1
42,76534,797,Self-employed,1
24,28627,571,Unemployed,1
40,112928,771,Salaried,1
52,84241,718,Unemployed,0
56,123279,695,Salaried,1
24,35040,507,Salaried,0
47,76254,512,Salaried,1
37,78507,558,Salaried,1
32,93106,614,Self-employed,1
42,45244,848,Self-employed,1
37,101321,577,Self-employed,1
30,142349,734,Salaried,1
21,99236,598,Salaried,0
42,87786,701,Salaried,1
46,43676,643,Unemployed,0
38,61772,669,Salaried,0
34,83324,690,Unemployed,1
49,69106,622,Salaried,1
32,115787,691,Salaried,1
56,101011,785,Salaried,1
55,165771,567,Salaried,1
32,55574,780,Unemployed,1
27,85993,620,Self-employed,1
49,43495,609,Unemployed,0
31,20000,726,Unemployed,1
53,106681,612,Self-employed,0
26,99898,685,Self-employed,1
35,59362,674,Self-employed,1
52,87790,420,Self-employed,0
31,66121,695,Salaried,1
43,70173,491,Salaried,0
46,75391,499,Self-employed,0
54,58103,690,Salaried,1
54,63500,709,Salaried,1
49,64346,782,Unemployed,1
24,97686,530,Salaried,1
37,20000,568,Self-employed,0
55,78171,701,Salaried,1
33,52369,784,Self-employed,1
61,53453,671,Salaried,1
59,69230,553,Unemployed,0
35,84569,815,Unemployed,1
49,78567,621,Unemployed,0
49,53078,624,Salaried,1
31,106650,492,Salaried,1
52,57921,729,Unemployed,0
22,62958,743,Unemployed,0
34,93534,572,Unemployed,1
40,94611,842,Self-employed,1
42,66649,585,Salaried,0
31,20000,718,Salaried,1
47,58435,674,Unemployed,0
23,89856,427,Self-employed,0
37,105658,709,Salaried,1
64,82621,699,Salaried,0
48,70630,455,Self-employed,0
49,153796,817,Self-employed,1
41,73825,700,Salaried,1
36,103366,786,Salaried,1
57,44948,461,Salaried,0
40,52294,604,Salaried,1
26,104419,779,Unemployed,1
39,116336,477,Self-employed,0
25,73308,608,Self-employed,0
23,29540,694,Self-employed,0
21,79973,441,Salaried,1
58,90682,504,Self-employed,0
35,87964,802,Unemployed,1
54,68098,656,Self-employed,1
55,80413,779,Salaried,1
45,62506,670,Self-employed,1
44,51644,900,Unemployed,1
32,107670,698,Salaried,1
38,87933,789,Salaried,1
35,80479,622,Unemployed,1
64,69785,673,Unemployed,1
36,79594,720,Salaried,1
47,89809,738,Salaried,1
28,136860,645,Salaried,1
45,104636,650,Salaried,1
37,65010,705,Unemployed,1
49,65327,705,Salaried,1
28,60649,537,Salaried,0
35,78984,674,Unemployed,1
47,60626,685,Salaried,1
27,99244,542,Self-employed,0
23,20000,749,Salaried,1
49,101055,695,Unemployed,1
64,93261,900,Unemployed,1
44,122882,647,Salaried,1
23,111303,774,Unemployed,1
40,64489,709,Unemployed,1
35,107928,861,Unemployed,1
45,79957,543,Salaried,0
50,26970,595,Salaried,0
34,89764,547,Salaried,1
27,66272,641,Salaried,1
37,85006,526,Salaried,0
64,134543,482,Salaried,0
40,91743,415,Self-employed,0
56,54479,408,Self-employed,0
29,113932,722,Unemployed,1
58,95876,599,Unemployed,0
42,50945,514,Salaried,0
22,36812,577,Self-employed,0
44,55679,591,Self-employed,0
28,110089,543,Salaried,1
31,75951,826,Salaried,1
33,87434,805,Unemployed,1
37,44844,824,Salaried,1
28,110896,669,Unemployed,1
41,24544,680,Unemployed,0
38,65338,578,Salaried,1
50,97553,556,Unemployed,0
38,51321,652,Salaried,0
51,103423,721,Unemployed,1
58,58924,781,Unemployed,1
52,48217,589,Salaried,0
31,123594,512,Self-employed,1
45,89617,730,Self-employed,1
53,100571,450,Salaried,0
58,115546,645,Unemployed,1
61,20000,659,Salaried,0
28,104043,608,Self-employed,1
31,62169,480,Salaried,0
42,66121,609,Self-employed,1
44,98123,830,Unemployed,1
61,74108,715,Self-employed,1
37,102835,777,Self-employed,1
32,83774,516,Self-employed,0
52,90046,678,Salaried,1
35,70293,659,Salaried,0
36,53052,661,Salaried,1
42,62790,711,Salaried,1
48,81915,666,Salaried,1
40,140117,519,Unemployed,0
53,129157,717,Unemployed,1
30,65401,742,Salaried,1
60,86807,795,Salaried,1
52,76368,800,Salaried,1
53,88907,702,Unemployed,1
22,92767,524,Salaried,1
53,100825,481,Self-employed,0
53,20000,625,Self-employed,0
61,95994,751,Self-employed,1
33,73032,744,Salaried,1
50,63851,680,Salaried,1
53,108827,645,Salaried,1
33,129004,859,Salaried,1
46,105670,713,Unemployed,1
42,69443,640,Salaried,0
59,52719,579,Salaried,0
22,20000,539,Unemployed,0
58,90475,528,Salaried,1
59,102370,539,Salaried,1
46,81944,680,Unemployed,0
35,113012,648,Self-employed,1
54,45394,614,Salaried,1
62,79862,731,Self-employed,1
64,77490,849,Self-employed,1
60,81696,559,Salaried,0
31,120037,575,Self-employed,0
23,81854,406,Self-employed,0
26,76156,647,Unemployed,1
29,56899,635,Unemployed,0
26,124857,748,Salaried,1
29,42064,640,Self-employed,1
59,68410,585,Salaried,0
51,135818,671,Salaried,1
52,99047,711,Salaried,1
61,84394,472,Self-employed,0
32,85650,760,Self-employed,1
28,56608,793,Salaried,0
28,82944,710,Unemployed,1
48,74504,547,Self-employed,1
40,90388,614,Self-employed,1
27,39812,780,Salaried,1
31,96935,542,Self-employed,0
40,115498,719,Unemployed,1
36,78885,644,Salaried,1
24,104412,667,Salaried,1
26,94310,558,Unemployed,1
42,66767,686,Self-employed,1
46,53244,678,Self-employed,1
23,57448,483,Salaried,0
61,93786,649,Self-employed,1
62,83315,717,Salaried,1
34,123252,607,Salaried,1
31,108726,380,Salaried,0
38,108663,637,Salaried,1
32,92892,811,Self-employed,1
43,56134,612,Unemployed,0
32,94760,807,Salaried,1
33,86915,560,Self-employed,0
45,50848,522,Salaried,0
39,121298,649,Salaried,1
56,118068,559,Unemployed,0
28,50675,686,Salaried,1
49,65866,609,Salaried,0
52,68501,812,Salaried,1
64,103295,601,Self-employed,1
38,99841,659,Salaried,1
26,86332,715,Salaried,1
38,93215,755,Unemployed,1
39,46371,812,Salaried,1
42,96440,624,Salaried,1
57,81973,606,Salaried,1
52,64628,439,Salaried,0
61,39024,874,Self-employed,1
23,85808,689,Self-employed,1
48,95708,732,Self-employed,1
30,33925,711,Salaried,1
55,85554,655,Salaried,1
49,88667,688,Salaried,1
35,68373,588,Salaried,1
53,96395,616,Salaried,0
27,81020,545,Salaried,1
32,93495,821,Salaried,0
50,101027,711,Self-employed,1
41,101044,867,Salaried,1
51,115504,900,Salaried,1
44,95149,495,Salaried,0
40,70688,758,Salaried,1
57,65566,500,Self-employed,0
24,53100,669,Salaried,0
48,89535,684,Salaried,1
64,124639,508,Salaried,0
40,74246,568,Salaried,0
44,98488,689,Self-employed,1
52,62431,669,Unemployed,0
61,90844,537,Salaried,1
56,122780,573,Self-employed,1
54,105587,485,Salaried,1
56,37875,517,Salaried,1
22,102120,609,Salaried,1
35,103486,758,Unemployed,1
54,90204,772,Salaried,1
56,105025,851,Unemployed,1
26,59994,696,Salaried,0
59,86897,670,Salaried,0
62,118305,704,Self-employed,1
32,115598,703,Unemployed,1
23,101441,472,Unemployed,1
38,58510,857,Self-employed,1
60,53786,437,Salaried,0
41,88436,776,Salaried,0
35,90423,656,Salaried,1
53,81988,530,Salaried,1
55,60856,708,Unemployed,0
46,98108,637,Self-employed,1
28,88304,574,Unemployed,1
56,93694,498,Salaried,0
50,102803,488,Self-employed,0
43,76790,582,Unemployed,1
62,70337,607,Salaried,1
64,118226,516,Salaried,1
34,62279,654,Self-employed,1
34,70924,532,Self-employed,0
22,122027,689,Unemployed,1
57,68589,785,Salaried,1
25,82041,681,Salaried,1
58,72640,639,Salaried,1
61,31503,591,Salaried,1
34,81300,809,Self-employed,1
59,54681,628,Salaried,0
45,92637,900,Unemployed,1
40,118169,519,Unemployed,1
22,20000,681,Salaried,1
59,72792,805,Salaried,1
26,98569,574,Self-employed,0
37,20000,624,Self-employed,0
45,125087,718,Salaried,1
48,96396,692,Salaried,1
22,117496,711,Self-employed,0
55,68081,777,Self-employed,1
57,71700,611,Salaried,1
25,80171,808,Self-employed,1
21,149146,460,Unemployed,1
60,124543,768,Salaried,1
32,88970,776,Self-employed,0
56,92632,564,Salaried,0
43,104047,490,Salaried,0
51,156746,624,Salaried,1
31,96481,694,Salaried,1
30,86378,613,Unemployed,0
23,74842,705,Self-employed,1
34,92047,863,Salaried,1
36,67389,499,Salaried,0
30,99882,435,Self-employed,0
49,42022,642,Salaried,1
30,77184,575,Salaried,1
32,107038,597,Self-employed,1
50,96073,789,Unemployed,1
61,71121,636,Salaried,1
21,78039,646,Self-employed,1
25,116060,601,Salaried,1
40,48687,645,Self-employed,0
28,48862,679,Self-employed,1
63,57110,900,Unemployed,1
32,84679,680,Self-employed,1
21,44297,777,Salaried,1
40,113590,670,Salaried,1
48,57271,426,Salaried,0
63,91730,587,Self-employed,1
57,67627,680,Unemployed,1
57,83035,729,Self-employed,0
32,36899,673,Self-employed,1
57,115039,751,Salaried,1
64,56155,489,Salaried,0
48,53013,655,Salaried,0
35,156370,796,Salaried,1
26,101629,543,Salaried,0
64,113872,773,Self-employed,1
40,98766,767,Salaried,1
34,71425,513,Self-employed,0
22,45794,687,Self-employed,1
29,76035,667,Salaried,1
57,55655,630,Self-employed,1
40,57456,482,Salaried,0
46,37504,621,Salaried,0
49,88434,632,Salaried,1
21,132202,463,Salaried,1
55,101744,506,Self-employed,0
26,81826,548,Unemployed,1
57,83782,534,Salaried,1
25,20000,685,Salaried,1
53,72284,750,Salaried,1
34,42199,615,Self-employed,0
32,89032,734,Salaried,1
62,77200,754,Self-employed,1
40,58920,640,Self-employed,0
44,88356,694,Salaried,1
